epoch	code	bini
1	23	8
2	24	9
3	21	6
4	24	9
5	25	10
6	25	10
7	23	8
8	24	9
9	23	8
10	25	10
11	22	7
12	23	8
13	24	9
14	21	6
15	23	8
16	22	7
17	23	8
18	22	7
19	25	10
20	25	10
21	22	7
22	25	10
23	24	9
24	21	6
25	21	6
26	21	6
27	23	8
28	22	7
29	23	8
30	24	9
31	24	9
32	22	7
33	22	7
34	25	10
35	21	6
36	21	6
37	21	6
38	24	9
39	22	7
40	25	10
41	14	4
42	14	4
43	15	5
44	14	4
45	12	2
46	13	3
47	14	4
48	13	3
49	15	5
50	15	5
51	13	3
52	15	5
53	14	4
54	11	1
55	15	5
56	14	4
57	13	3
58	11	1
59	11	1
60	12	2
61	12	2
62	11	1
63	13	3
64	15	5
65	12	2
66	12	2
67	11	1
68	13	3
69	12	2
70	11	1
71	15	5
72	11	1
73	13	3
74	15	5
75	11	1
76	13	3
77	12	2
78	12	2
79	14	4
80	14	4
